,TIGER 200,TIGER 200 IT,TIGER 200 건설,TIGER 200 경기소비재,TIGER 200 금융,TIGER 200 산업재,TIGER 200 생활소비재,TIGER 200 에너지화학,TIGER 200 중공업,TIGER 200 철강소재,TIGER 200 헬스케어,TIGER 200IT레버리지,TIGER 200TR,TIGER 200동일가중,TIGER 200선물레버리지,TIGER 200선물인버스2X,TIGER 200에너지화학레버리지,TIGER 200커뮤니케이션서비스,TIGER 200커버드콜5%OTM,TIGER 200커버드콜ATM,TIGER 2차전지테마,TIGER KRX300,TIGER KTOP30,TIGER K게임,TIGER LG그룹+펀더멘털,TIGER MSCI KOREA ESG리더스,TIGER MSCI KOREA ESG유니버설,TIGER MSCI Korea TR,TIGER S&P글로벌인프라(합성),TIGER S&P글로벌헬스케어(합성),TIGER TOP10,TIGER 경기방어,TIGER 경기방어채권혼합,TIGER 골드선물(H),TIGER 구리실물,TIGER 국채3년,TIGER 글로벌4차산업혁신기술(합성 H),TIGER 글로벌자원생산기업(합성 H),TIGER 금속선물(H),TIGER 금은선물(H),TIGER 농산물선물Enhanced(H),TIGER 단기선진하이일드(합성 H),TIGER 단기채권액티브,TIGER 단기통안채,TIGER 라틴35,TIGER 레버리지,TIGER 로우볼,TIGER 리츠부동산인프라,TIGER 모멘텀,TIGER 미국MSCI리츠(합성 H),TIGER 미국S&P500레버리지(합성 H),TIGER 미국S&P500선물(H),TIGER 미국S&P500선물인버스(H),TIGER 미국나스닥100,TIGER 미국나스닥바이오,TIGER 미국다우존스30,TIGER 미국달러단기채권액티브,TIGER 미국달러선물레버리지,TIGER 미국달러선물인버스2X,TIGER 미국채10년선물,TIGER 미디어컨텐츠,TIGER 반도체,TIGER 방송통신,TIGER 배당성장,TIGER 삼성그룹펀더멘털,TIGER 소프트웨어,TIGER 여행레저,TIGER 우량가치,TIGER 우선주,TIGER 원유선물Enhanced(H),TIGER 원유선물인버스(H),TIGER 유로스탁스50(합성 H),TIGER 유로스탁스레버리지(합성 H),TIGER 유로스탁스배당30,TIGER 은행,TIGER 의료기기,TIGER 이머징마켓MSCI레버리지(합성 H),TIGER 인도니프티50레버리지(합성),TIGER 인버스,TIGER 일본TOPIX(합성 H),TIGER 일본니케이225,TIGER 일본엔선물,TIGER 중국소비테마,TIGER 중장기국채,TIGER 증권,TIGER 지주회사,TIGER 차이나CSI300,TIGER 차이나CSI300레버리지(합성),TIGER 차이나CSI300인버스(합성),TIGER 차이나HSCEI,TIGER 차이나항셍25,TIGER 코스닥150,TIGER 코스닥150 레버리지,TIGER 코스닥150IT,TIGER 코스닥150바이오테크,TIGER 코스닥150선물인버스,TIGER 코스피,TIGER 코스피고배당,TIGER 코스피대형주,TIGER 코스피중형주,TIGER 헬스케어,TIGER 현대차그룹+펀더멘털,TIGER 화장품
578,35505.37,32017.75,3011.85,15916.32,7090.27,6534.43,9566.38,16887.87,3152.83,9770.59,19287.38,44680.83,19232.76,12193.21,14371.46,2705.56,14439.51,23925.55,13504.53,10493.33,20592.98,16412.69,9172.09,12069.0,9452.38,9760.52,10599.38,14407.18,12389.75,18980.39,11596.84,10032.14,9193.25,13468.84,11009.24,106030.23,15590.67,16367.52,7615.77,9767.83,8635.02,12029.71,50486.43,100812.61,3820.51,18178.39,12182.69,6304.41,24800.85,14884.93,28385.65,49031.67,3918.05,74127.34,17867.82,21011.9,10802.42,11488.36,7680.56,11656.3,8435.14,36192.05,9630.77,18210.88,11132.77,12192.88,4813.48,11610.47,11867.94,5132.1,3217.67,12942.21,7909.33,11666.52,8020.86,16067.08,9233.13,25351.56,4908.11,15758.83,15471.92,9560.71,7675.15,48332.19,4218.43,10523.14,10072.2,22534.08,8348.28,9548.36,13789.6,12817.8,11949.81,16709.82,8248.29,4762.03,27534.68,15579.34,13121.38,16051.14,30193.08,23122.02,2860.49
579,35020.09,31539.17,2995.05,15763.98,7040.21,6597.66,9458.54,16847.6,3145.63,9660.98,18908.52,43304.23,18969.1,12114.63,13954.12,2784.93,14364.99,23333.94,13322.14,10392.12,20247.25,16172.44,9033.87,11638.94,9351.19,9627.57,10438.0,14190.44,12506.68,19027.47,11413.53,9918.56,9172.58,13511.79,11089.21,106144.07,15347.66,16332.03,7615.87,9788.18,8788.01,11992.42,50493.86,100824.35,3795.45,17660.44,12117.39,6284.57,24733.86,14635.43,27984.05,48730.97,3942.37,73156.56,17528.49,21037.03,10859.14,11604.3,7604.45,11668.33,8316.14,35427.31,9538.73,18087.41,11029.48,11784.34,4804.2,11555.87,11758.18,5409.46,3039.36,12728.76,7629.5,11473.99,7963.37,15697.89,9023.62,24294.87,4981.21,15758.24,15505.54,9581.19,7557.92,48383.46,4170.84,10430.55,10025.93,22295.12,8411.21,9397.59,13565.31,12518.31,11339.45,16295.89,8043.33,4894.13,27192.7,15464.99,12940.04,15969.87,29617.96,23011.21,2818.87
580,34661.77,30988.42,2934.18,15549.28,7007.58,6511.59,9337.2,16491.29,3112.98,9482.28,18699.28,41900.79,18775.04,11908.92,13710.54,2833.14,13733.25,23306.49,13189.57,10299.38,19692.56,15985.31,8938.47,11417.05,9219.28,9508.74,10351.07,14052.78,12507.56,18935.76,11302.77,9820.58,9157.53,13561.65,10976.64,106334.73,14981.86,16311.96,7495.65,9814.51,8700.59,11943.06,50497.23,100829.01,3762.58,17331.49,12027.58,6239.8,24405.1,14424.95,27641.75,48452.57,3964.96,72341.17,16874.94,20995.91,10871.13,11637.43,7581.85,11647.32,8016.0,34712.42,9442.92,17648.31,10870.34,11729.97,4646.88,11388.15,11640.57,5488.26,2995.05,12534.01,7343.12,11349.52,7972.39,15308.75,8569.75,23233.38,5024.83,15922.87,15556.51,9559.84,7387.79,48430.98,4103.88,10310.64,9714.27,20912.02,8668.83,8999.77,13037.46,12203.32,10797.38,15926.48,7840.09,5005.55,26847.62,15253.09,12806.49,15609.89,29053.39,22740.85,2733.83
581,34488.28,31116.45,2898.53,15580.75,6867.9,6436.9,9383.4,16290.8,3072.75,9362.28,18537.07,42166.42,18680.19,11833.86,13540.75,2869.64,13117.1,23264.08,13121.61,10247.45,19620.28,15903.64,8898.66,11270.18,9206.76,9501.4,10299.33,13972.66,12237.41,18495.87,11314.24,9822.89,9160.35,13382.43,10719.9,106397.36,14309.25,15448.39,7261.82,9678.19,8557.93,11862.02,50499.12,100832.87,3631.93,17131.22,11975.4,6170.16,24214.58,13783.68,25912.64,46891.44,4092.41,69617.44,16090.79,20622.32,10892.54,11694.11,7547.78,11716.95,7909.65,35182.46,9534.84,17462.24,10807.66,11687.84,4605.44,11307.33,11590.4,5178.4,3172.76,12181.24,6941.74,11231.4,7789.69,15206.04,8269.93,23015.98,5056.66,15610.59,15274.79,9621.1,7408.1,48467.19,4063.97,10235.42,9667.55,20757.07,8717.41,9017.4,13062.97,12127.52,10614.29,15975.54,7705.58,5059.32,26702.21,15042.16,12739.01,15524.04,28711.51,22635.9,2719.08
582,34464.23,30944.06,2838.34,15761.71,6731.2,6460.9,9366.24,16339.06,3026.39,9239.43,18567.71,41746.15,18667.44,11762.88,13535.66,2870.41,13388.94,23466.83,13111.91,10242.77,19627.69,15920.15,8929.03,11362.81,9180.73,9514.84,10305.34,13975.63,12125.24,18555.97,11384.62,9805.68,9180.03,13254.39,10869.25,106842.33,14393.79,15450.55,7283.47,9577.23,8601.72,11872.63,50500.56,100836.33,3646.14,17119.42,11863.44,6206.13,23968.76,13552.86,26025.77,47001.04,4082.89,70443.77,16489.31,20550.36,10883.1,11669.42,7565.55,11767.56,7882.23,35903.36,9431.9,17305.95,10728.86,11794.15,4623.19,11209.78,11595.22,5004.16,3271.25,12286.5,7053.65,11336.08,7638.9,15520.58,8157.33,22815.16,5057.73,15485.59,15208.09,9623.68,7460.11,48866.38,3963.02,10207.24,9745.24,21048.41,8647.96,8807.65,12792.06,12428.46,11175.82,16428.28,7977.97,4911.12,26658.58,14793.47,12720.7,15483.04,29132.45,22767.51,2752.52
583,33915.27,30263.89,2783.79,15636.84,6767.23,6450.14,9136.17,15958.77,2962.08,9193.27,18132.07,39857.42,18369.7,11612.2,13114.31,2958.62,12977.22,22809.15,12906.19,10080.83,18857.64,15633.49,8712.36,10645.92,8929.99,9288.23,10130.67,13745.54,12339.24,18584.06,11123.54,9611.26,9130.72,13349.95,11009.52,106952.39,14130.92,15713.6,7327.91,9645.84,8739.12,11861.12,50502.09,100839.72,3739.9,16580.39,11875.97,6160.92,24027.52,13527.45,25150.47,46218.39,4153.39,69009.56,16071.33,20552.25,10997.32,11912.99,7401.81,11942.52,7382.0,34898.72,9431.93,17140.05,10626.91,11285.28,4506.91,11156.18,11276.97,5250.94,3086.62,12576.71,7427.29,11577.52,7677.6,15265.45,8214.35,22923.8,5135.62,15376.89,15487.75,9785.81,7231.47,49063.66,3893.48,10081.06,9935.66,21859.05,8486.83,9050.05,13192.81,11873.9,10170.73,15736.93,7612.13,5141.48,26225.5,14731.22,12519.65,15241.88,28227.35,22560.78,2600.94
584,34671.55,31209.4,2867.67,15975.71,6916.37,6574.94,9229.06,16449.62,3057.61,9195.75,18177.77,42112.54,18780.83,11829.99,13730.54,2820.15,13575.24,23087.43,13140.36,10207.99,19515.12,15991.79,8905.96,10817.82,9142.92,9521.76,10367.91,14064.49,12161.27,18585.59,11363.65,9625.55,9135.78,13137.24,10589.82,106920.85,14217.67,15400.19,7206.95,9471.69,8952.83,11807.91,50505.57,100846.3,3764.13,17345.78,12073.66,6224.05,24464.31,13627.99,25103.84,46182.13,4155.57,68645.45,16482.63,20419.69,10960.49,11833.12,7453.86,11965.42,7526.91,35978.84,9609.76,17461.24,10924.65,11554.49,4637.52,11317.08,11432.93,5276.17,3072.81,12491.29,7275.73,11344.12,7862.4,15617.66,7841.25,21859.36,5015.71,15195.76,15249.52,9797.71,7346.55,48953.78,3969.84,10284.87,9805.93,21266.67,8599.69,8783.97,12867.19,12295.29,10926.06,16304.9,7794.51,4939.57,26779.38,14907.64,12794.62,15537.14,28305.22,23037.17,2627.52
585,34517.0,31014.88,2838.43,15876.96,6938.62,6542.39,9235.57,16384.01,3070.68,9193.77,18065.88,41965.62,18697.08,11818.82,13613.85,2845.68,13550.72,22772.82,13106.92,10200.35,19536.57,15928.98,8868.97,10679.27,9073.31,9472.3,10331.7,14017.06,12351.86,18838.96,11283.47,9534.58,9093.09,13016.41,10672.01,106616.88,14767.94,15748.8,7239.37,9401.19,8977.31,11828.41,50503.27,100843.17,3868.99,17193.34,12042.51,6267.89,24506.49,13971.51,26255.72,47274.37,4058.05,71166.39,17026.21,20718.4,10958.93,11812.43,7466.0,11888.55,7621.22,35726.77,9487.03,17471.8,10890.66,11470.05,4627.25,11313.79,11508.17,5480.39,2956.3,12809.32,7634.41,11564.66,7902.44,15565.8,8117.32,21593.47,5037.73,15478.27,15610.37,9791.12,7372.22,48812.9,3958.13,10277.69,9892.25,21638.46,8523.95,9067.33,13305.98,12294.12,10871.06,16270.42,7774.45,4962.06,26700.89,14939.27,12736.83,15573.01,28120.73,22844.47,2629.27
586,34875.58,31450.08,2861.63,15941.01,6942.43,6574.69,9154.44,16694.66,3063.19,9277.63,18129.65,42697.2,18891.61,11882.89,13881.61,2788.6,14064.47,22905.06,13211.42,10251.52,20079.43,16107.22,8952.08,10791.57,9063.46,9522.11,10435.85,14175.6,12401.47,18849.05,11401.79,9524.44,9089.68,13063.2,10809.91,106648.09,14642.35,15970.91,7318.71,9461.39,9233.14,11816.97,50502.58,100845.36,3900.47,17540.43,12066.84,6236.18,24625.4,13899.93,26078.55,47092.86,4071.85,69865.57,16997.39,20595.72,10880.39,11641.95,7572.16,11850.24,7772.94,36141.1,9490.98,17614.39,11013.51,11556.61,4617.78,11308.05,11522.41,5628.97,2874.32,12750.62,7573.85,11600.16,7911.06,15792.9,8158.23,21521.15,4987.71,15461.52,15526.53,9686.82,7315.21,48799.6,4004.12,10361.72,9781.37,21157.36,8605.79,9031.16,13208.58,12515.44,11310.8,16489.34,7894.45,4850.93,26944.19,15008.15,12866.32,15653.33,28401.45,22925.12,2557.15
587,34956.78,31732.24,2803.27,15931.73,6897.42,6564.33,9095.89,16717.16,2997.91,9235.0,18271.43,43682.6,18935.82,11816.56,13945.43,2775.98,14103.72,22982.88,13243.67,10269.95,20389.6,16167.41,8975.01,10861.16,9067.61,9556.11,10475.47,14246.52,12510.08,18975.31,11463.52,9503.58,9081.92,13087.25,10871.66,106577.43,14998.33,16338.43,7424.5,9478.45,9314.9,11813.26,50501.77,100847.1,3979.05,17622.1,12016.1,6230.11,24529.56,14077.22,27110.17,48019.44,3991.03,71210.13,17391.55,20733.74,10809.16,11518.19,7652.73,11692.17,7806.72,36372.22,9437.11,17705.59,10999.19,11617.32,4632.79,11235.43,11568.77,5544.39,2931.21,12953.17,7798.7,11726.46,7816.58,15780.72,8538.04,22435.03,4976.22,15488.73,15512.56,9637.77,7334.85,48716.17,4008.48,10352.18,9873.03,21519.0,8536.38,9300.94,13586.32,12676.05,11619.41,16629.68,7993.11,4781.72,27001.03,15037.93,12909.56,15602.7,28678.09,22862.48,2541.15
588,34446.28,31154.89,2771.07,15496.82,6740.28,6497.79,9001.57,16538.72,2956.26,9071.22,18038.14,42107.23,18656.98,11618.65,13461.25,2873.91,13809.02,22679.74,13100.56,10214.17,20775.95,15935.86,8835.46,10691.89,8879.26,9366.51,10313.7,14047.49,12555.51,18727.3,11260.38,9409.73,9057.89,13070.21,10800.48,106601.31,14623.14,16102.58,7330.81,9459.04,9114.02,11743.41,50502.39,100850.21,3898.56,17045.31,11850.52,6202.67,24118.2,13626.11,24921.01,46133.98,4147.82,68242.03,17041.8,20176.08,10904.48,11716.0,7524.05,11852.32,7648.33,36000.82,9329.79,17388.4,10877.23,11467.06,4557.66,11060.97,11438.55,5425.84,2999.53,12759.14,7575.32,11695.75,7614.51,15576.64,8552.24,22667.38,5065.53,15644.97,15874.78,9765.07,7187.44,48740.14,3942.62,10215.04,9904.02,21646.16,8515.17,9397.8,13741.89,12538.06,11275.3,16791.57,7808.82,4865.56,26652.33,14797.17,12752.53,15348.03,28247.31,22288.52,2494.05
