,ACE 200,ACE 200TR,ACE Fn성장소비주도주,ACE Gloabal Luxury&Hotel Index,ACE 골드선물 레버리지(합성 H),ACE 국고채3년,ACE 국채선물10년인버스,ACE 국채선물3년인버스,ACE 단기통안채,ACE 러시아MSCI(합성),ACE 레버리지,ACE 멕시코MSCI(합성),ACE 미국IT인터넷S&P(합성 H),ACE 미국WideMoat가치주,ACE 미국다우존스리츠(합성 H),ACE 밸류대형,ACE 베트남VN30(합성),ACE 삼성그룹동일가중,ACE 삼성그룹섹터가중,ACE 스마트로우볼,ACE 스마트모멘텀,ACE 스마트밸류,ACE 스마트퀄리티,ACE 스마트하이베타,ACE 싱가포르리츠,ACE 싱가포르리츠채권혼합모닝스타,ACE 아시아TOP50S&P,ACE 인도네시아MSCI(합성),ACE 인버스,ACE 일본Nikkei225(H),ACE 일본TOPIX레버리지(H),ACE 일본TOPIX인버스(합성 H),ACE 중국본토CSI300,ACE 중국본토CSI300레버리지(합성),ACE 중장기국공채액티브,ACE 코스닥(합성),ACE 코스피,ACE 필리핀MSCI(합성)
243,37304.99,22224.63,6784.61,2131.03672,19199.92,107287.65,93223.08,99072.74,100932.88,24421.35,8201.23,8232.93,19191.72,13620.16,76341.85,8683.88,14870.38,15948.01,14807.47,15450.53,16185.05,13679.87,17212.0,13089.42,11296.01,9962.68,14208.59,8731.9,5546.59,17290.87,17272.78,4988.37,29593.0,5158.95,102583.8,13294.6,27790.68,14157.16
244,38093.99,22695.08,6877.06,2121.21292,19358.65,107179.51,93638.78,99165.58,100932.88,24715.11,8554.63,8421.81,18936.62,13645.41,75740.92,8860.87,14713.67,16180.93,15125.19,15724.87,16465.84,13939.13,17487.87,13327.23,11318.99,9936.61,14354.76,8682.89,5419.62,17364.71,17368.26,4976.4,29763.16,5216.08,102380.6,13372.81,28267.24,14095.31
245,38169.88,22739.09,6904.25,2134.16019,19462.45,107185.19,93533.48,99165.31,100088.97,24881.57,8628.27,8413.18,18864.58,13568.86,76328.23,8912.3,14712.08,16147.65,15123.91,15789.38,16457.49,13972.75,17485.22,13322.02,11239.85,9923.42,14288.28,8649.14,5391.02,17452.89,17635.24,4939.25,29793.92,5224.81,102426.61,13348.36,28284.06,14015.28
246,38907.47,23179.11,7020.89,2149.10417,19402.22,107149.13,93660.21,99202.08,100088.7,24894.47,8896.25,8426.0,18700.36,13536.72,76954.49,9032.63,14678.96,16406.07,15601.55,16047.09,16857.29,14228.23,17848.74,13611.03,11189.72,9898.36,14214.45,8785.35,5319.35,17562.26,17776.91,4912.54,29783.8,5227.97,102354.67,13784.53,28840.82,13820.43
247,39719.59,23663.43,7101.12,2162.3485,19452.72,107163.38,93866.86,99223.89,100095.54,25033.03,9285.83,8567.93,18645.55,13455.96,76301.64,9200.19,14673.18,16550.52,15964.3,16327.22,17209.96,14502.76,18204.71,13886.48,11238.68,9897.86,14350.1,8688.63,5201.72,18042.22,18425.22,4820.57,29521.65,5142.12,102315.1,13941.46,29373.58,13797.1
248,40803.41,24308.47,7107.19,2124.78816,19669.32,107214.26,93961.61,99182.67,100106.95,24716.41,9806.07,8452.67,18529.45,13507.7,77453.65,9466.14,14814.69,16743.1,16444.76,16686.33,17686.16,14846.41,18714.28,14307.94,11295.23,9907.23,14744.01,8694.48,5051.13,17960.66,18176.04,4858.67,30697.31,5516.42,102340.16,14073.64,30102.56,13754.42
249,41429.75,24681.28,7195.48,2122.16239,20779.08,107296.52,93675.16,99093.25,100114.01,25321.0,10076.73,8624.2,18358.1,13410.27,74931.6,9632.08,15170.82,17093.77,16684.8,16950.5,17965.8,15073.71,19033.34,14587.98,11383.08,9951.99,14997.31,8892.78,4987.95,17852.38,17990.97,4885.6,31250.64,5699.61,102496.29,14190.21,30575.11,13928.56
250,41031.07,24443.51,7140.94,2155.1819,20945.39,107237.82,94006.71,99158.83,100117.78,25555.45,9925.37,8601.96,18488.99,13533.65,74936.46,9556.87,15311.74,16906.11,16446.69,16788.7,17832.55,14961.4,18821.1,14486.74,11348.82,9921.57,15033.17,8934.53,5016.48,17760.83,17833.42,4894.6,31764.36,5870.13,102373.27,14127.51,30345.36,13773.91
251,41921.06,24972.97,7171.81,2187.66892,19959.62,107228.01,93937.3,99177.45,100121.3,25643.99,10353.47,8829.11,18168.71,13840.46,74880.86,9827.48,15474.88,17220.93,16746.57,17160.18,18198.64,15330.8,19193.44,14839.22,11424.44,9946.66,15184.3,8801.13,4909.78,17696.71,17990.17,4881.02,32111.61,5986.36,102393.04,14234.48,30995.52,13616.6
252,43892.95,26147.19,7267.9,2198.04719,20064.22,107231.59,93941.95,99190.5,100126.1,25684.75,11301.0,8848.16,18608.55,14006.02,74868.41,10306.22,15743.48,17636.6,17482.07,17913.05,18866.12,15971.1,20086.89,15515.4,11358.68,9929.13,15443.96,8820.64,4689.12,17975.2,18600.22,4799.2,32690.75,6180.0,102404.24,14218.67,32226.15,13814.49
